sampler,graph_seed_mean,graph_seed_std,graph_n_mean,graph_n_std,sample_frac_mean,sample_frac_std,rep_seed_mean,rep_seed_std,sampled_n_mean,sampled_n_std,sample_frac_actual_mean,sample_frac_actual_std,degree_KL_mean,degree_KL_std,degree_JS_mean,degree_JS_std,degree_wasserstein_mean,degree_wasserstein_std,degree_KS_stat_mean,degree_KS_stat_std,degree_KS_pvalue_mean,degree_KS_pvalue_std,clustering_KL_mean,clustering_KL_std,clustering_JS_mean,clustering_JS_std,clustering_wasserstein_mean,clustering_wasserstein_std,clustering_KS_stat_mean,clustering_KS_stat_std,clustering_KS_pvalue_mean,clustering_KS_pvalue_std,betweenness_KL_mean,betweenness_KL_std,betweenness_JS_mean,betweenness_JS_std,betweenness_wasserstein_mean,betweenness_wasserstein_std,betweenness_KS_stat_mean,betweenness_KS_stat_std,betweenness_KS_pvalue_mean,betweenness_KS_pvalue_std,eigenvector_KL_mean,eigenvector_KL_std,eigenvector_JS_mean,eigenvector_JS_std,eigenvector_wasserstein_mean,eigenvector_wasserstein_std,eigenvector_KS_stat_mean,eigenvector_KS_stat_std,eigenvector_KS_pvalue_mean,eigenvector_KS_pvalue_std,closeness_KL_mean,closeness_KL_std,closeness_JS_mean,closeness_JS_std,closeness_wasserstein_mean,closeness_wasserstein_std,closeness_KS_stat_mean,closeness_KS_stat_std,closeness_KS_pvalue_mean,closeness_KS_pvalue_std,k_core_KL_mean,k_core_KL_std,k_core_JS_mean,k_core_JS_std,k_core_wasserstein_mean,k_core_wasserstein_std,k_core_KS_stat_mean,k_core_KS_stat_std,k_core_KS_pvalue_mean,k_core_KS_pvalue_std,SPS_mean,SPS_std
metropolis_hastings_rw,20.0,18.718689095882173,2999.9444444444443,2001.0564638025985,0.23,0.1600889630316167,20004.5,18718.689316495293,690.0,738.2449198844928,0.2300025560667689,0.1600907426690371,10.34594559800865,8.30286246186265,0.4183973175147629,0.19070989186602677,5.706369243152334,1.423624595510963,0.7870343245093463,0.18551044101963907,6.591957687838033e-26,1.4837906779420325e-24,4.0184619143153,4.769916140178732,0.1514489832242636,0.14619098502602454,0.05172145520938531,0.0630374215392911,0.24391160467649087,0.12727277140877946,0.0035152132726899406,0.020451410171293132,1.1821352485302603,0.7372746864803715,0.2846628870718714,0.1545106382375483,0.019944403966217692,0.026503077157613963,0.6657453045572077,0.17549356841771868,1.605042444969329e-23,4.665379735003889e-22,2.0187891206113466,3.6213436025203207,0.26523474693183463,0.20371899118145514,0.025674403805677513,0.020716242161223284,0.5031339570432605,0.24564950683823364,1.4411837669878691e-08,4.0702684187364676e-07,17.47118895048485,9.216629870626225,0.5612963856358886,0.18289060455201944,0.07395429605129375,0.03593366158536999,0.8690853688960014,0.20599826912167127,1.5912784904014373e-06,4.7725564209947434e-05,25.70445205899156,6.047716042767767,0.6686484711032668,0.06641880067771165,3.4911365503322886,1.087461469358409,0.9842762474124455,0.05529074920477214,6.552015383191445e-83,5.767999897500612e-82,0.38133870882407556,0.19375071431449178
preferential_random_walk,20.0,18.718689095882173,2999.9444444444443,2001.0564638025985,0.23,0.1600889630316167,20004.5,18718.689316495293,690.0,738.2449198844928,0.2300025560667689,0.1600907426690371,10.060851432853976,9.284045646869071,0.40649025504704484,0.2086889719192686,5.115998872781964,1.9491725251152068,0.7218941021241285,0.22691450415175976,2.238447565765864e-14,5.896761589814382e-13,4.049993826986966,5.414325853364627,0.16919185712550003,0.16771817946214884,0.06938129386729437,0.06901047562140643,0.2650309380098242,0.15493380691549888,0.0036522813233222317,0.026570439465310375,0.9309105362848883,0.9997039825214248,0.216998597369861,0.1289681379581017,0.01444790427463611,0.018995491800094508,0.5404468815392708,0.17559954471180877,1.9709350717016093e-09,3.713208120014233e-08,2.3377178446722318,4.172176518714502,0.2814651828896963,0.19589487765324137,0.026357724560603746,0.02051139311424632,0.5367746121224245,0.22622239155287113,3.675797815973069e-10,6.312627196654522e-09,14.748502198927467,11.291317253125015,0.4583845344947781,0.2653913116505639,0.07107553190167364,0.05404947444418766,0.7326179925911108,0.3215899786796254,9.658455742045163e-06,0.00021764188348313325,19.14444860753225,11.982409731642148,0.5664702031207577,0.1812538497443498,3.3121163281100663,1.567455832527772,0.8843584632333874,0.18856257204645582,4.938698752251591e-28,1.0768387046890063e-26,0.4716263883396998,0.2441262688633007
random_edge,20.0,18.718689095882173,2999.9444444444443,2001.0564638025985,0.23,0.1600889630316167,20004.5,18718.689316495293,690.3722222222223,738.1887239104346,0.23023166824476005,0.16006899467379188,12.135870262897324,9.96943681511242,0.43678714934908597,0.2270937050763682,6.028125384965917,2.007506641396721,0.7939044492528213,0.20831914982324487,2.7505373233790973e-21,6.704913811146489e-20,5.372363379127464,6.934502574068285,0.19103167516040725,0.2104539519577272,0.06550744041244207,0.07560991522946904,0.3036286861558853,0.25456125814142033,0.0017374497478176722,0.00905111021320924,1.951257818806976,4.089390224630942,0.20651059289015905,0.13004348476873365,0.008927980618290766,0.010903657354961458,0.527127410425555,0.15019333998956874,7.745105897512138e-11,1.2957108558313724e-09,4.163044310287939,7.407683894201424,0.29467766113445837,0.2193923349626361,0.02472928952869228,0.018677156225470233,0.540389973737436,0.26957708387245527,5.12508926725556e-09,1.0627051261145583e-07,16.693110999785993,11.080783453264706,0.5048137431737153,0.25654907356093765,0.10541596659853063,0.08259886722315117,0.772600381047991,0.3364935955769579,0.0006327395758105871,0.004939125911649701,21.573393410713226,10.576149391247279,0.6200703680595253,0.13804806654098536,3.797922851760129,1.5956101632545119,0.9388904395678225,0.13887536911567674,2.1966605490711038e-38,6.569571324489933e-37,0.4303474213191811,0.1843655434605339
random_node,20.0,18.718689095882173,2999.9444444444443,2001.0564638025985,0.23,0.1600889630316167,20004.5,18718.689316495293,690.0,738.2449198844928,0.2300025560667689,0.1600907426690371,15.382928446683412,9.397853247321327,0.5793966994864086,0.12638969411573303,7.709168354263445,1.602079235847307,0.9083571959725278,0.11426902371661259,2.3104294763727958e-63,4.895988155158917e-62,7.365999148984877,7.516288630223902,0.22883264657382515,0.2251960714279821,0.06985800011915262,0.08413631346322349,0.41423908615797234,0.2721624525087511,0.001086262926394015,0.00687067292302664,4.617006100360368,7.282116579096123,0.2323554568663491,0.1971169164362421,0.00427810242189738,0.004753072777002653,0.6273895232083454,0.21873664888259955,1.040905464471277e-18,3.0847467133940675e-17,6.961259572727438,9.147433915975316,0.3195901803731732,0.22982783183490585,0.02352987503737858,0.0174555946453917,0.6481645029302157,0.29723433802787114,2.791398858912405e-08,5.880458820967613e-07,23.1832957300794,6.21035497595854,0.6668446765949725,0.07629391489402215,0.18739647304689927,0.08509762603883905,0.9782921990175812,0.06815931130799621,1.7356894978498073e-87,5.209963429518579e-87,27.279695839034297,0.8996686207386371,0.6888908908122057,0.01075547620806481,4.7973718095915485,1.2041896301262132,0.9983919525238382,0.004508300390883863,1.2342680249358176e-86,9.727140957825599e-86,0.498118341912167,0.16934262838828087
random_walk,20.0,18.718689095882173,2999.9444444444443,2001.0564638025985,0.23,0.1600889630316167,20004.5,18718.689316495293,690.0,738.2449198844928,0.2300025560667689,0.1600907426690371,10.692646312953645,9.10176460623537,0.43748516453409214,0.19565259728320206,5.608085687596779,1.7522520947335323,0.7689733304883198,0.20374366226082363,9.513423755061695e-23,1.5357269040570349e-21,4.155867295466983,5.393898125200406,0.16230638525683314,0.17063689774223456,0.060015136939024244,0.06867054273005167,0.23635471578760195,0.16073243598587,0.0034745899648594087,0.020019507342358276,0.9460902656628026,1.0258392639526772,0.22248649526479994,0.12343612601585022,0.01573380839391286,0.01984935012130335,0.5603959261333749,0.1616658097388434,2.0312834721760065e-09,6.045964706181002e-08,2.349825106434049,4.353412759790462,0.27530202742692106,0.20515203308852428,0.025413295179239785,0.01974433719967099,0.5116462215406044,0.2430594689764102,1.6503051715786825e-08,4.3664348613859097e-07,15.747920485768203,11.15634872096514,0.4866227558796672,0.25787540857796853,0.07684546495243247,0.05746842093628002,0.7547810654427182,0.335307611708472,0.0006767719609590827,0.004711201468124879,21.838661642550992,10.37365752557893,0.624320918261864,0.13220456938183173,3.54248440218414,1.4154124409125182,0.9436004003615538,0.13258076373819008,4.416842418499703e-51,1.32491376125972e-49,0.41550869155973097,0.2047932313654766
snowball,20.0,18.718689095882173,2999.9444444444443,2001.0564638025985,0.23,0.1600889630316167,20004.5,18718.689316495293,690.0,738.2449198844928,0.2300025560667689,0.1600907426690371,2.8044400588174976,3.3882909020087477,0.31021893648808907,0.14360152231972675,4.9646772320390005,1.5553779204934763,0.6906274576693117,0.14857837698225645,4.725266494340684e-11,1.4127104080265697e-09,2.0176144209640707,3.4392747685664693,0.15575184213896348,0.13799504898608472,0.10097331980786349,0.09080947594906227,0.25406659228141926,0.1461126158325804,0.017189937943372785,0.07797772253649404,0.34035019327148436,0.3247736246466232,0.09436930892848369,0.05703079490874766,0.011072574981104618,0.014037673322952181,0.38908866915605345,0.12359071110439171,8.984104691985232e-05,0.0011284916977928766,1.7051915884140598,3.3932183476628754,0.23012750823426714,0.13766910903572982,0.02562205840625412,0.021524276721933373,0.4742165912145392,0.16673281927125738,3.3535495589589096e-09,5.807959242050349e-08,3.7792016111005253,3.9735343523435827,0.3504160323917046,0.1485986478229423,0.03518881002566562,0.0190421313663001,0.6478792393145295,0.19427045476810803,5.3951130331425494e-05,0.0011817141395411752,20.504711225968062,11.225407210830578,0.6019566975962637,0.14781393256902023,3.240446772554511,1.3008834771894846,0.9243209076778319,0.1466323004657199,9.086075552931357e-20,2.7179336195125156e-18,0.6705930426282475,0.6182614048966568
