model,sampler,sample_frac,hypervolume_proxy
BA,metropolis_hastings_rw,0.5,0.05866472023862438
WS,snowball,0.05,0.4171925341449085
WS,snowball,0.05,0.3880245159703322
WS,snowball,0.05,0.36829460800054376
WS,snowball,0.05,0.36941290637026225
WS,preferential_random_walk,0.05,0.47860736852361024
WS,preferential_random_walk,0.05,0.4878558622679881
WS,snowball,0.1,0.30256451276714774
WS,snowball,0.1,0.30258779785717754
WS,snowball,0.1,0.3138856130246524
WS,snowball,0.1,0.3318293648983391
WS,preferential_random_walk,0.3,0.400306638516768
WS,snowball,0.5,0.16206242491194603
WS,snowball,0.5,0.1601256965567025
WS,snowball,0.5,0.15924366778897026
WS,snowball,0.5,0.16122578907667187
WS,snowball,0.5,0.16235987829353352
WS,random_walk,0.5,0.23689457813952455
WS,metropolis_hastings_rw,0.5,0.22234607766055828
WS,metropolis_hastings_rw,0.5,0.215482807502991
WS,metropolis_hastings_rw,0.5,0.20686406590261472
WS,metropolis_hastings_rw,0.5,0.21165573604371704
WS,metropolis_hastings_rw,0.5,0.230580668269555
WS,metropolis_hastings_rw,0.5,0.22161885973198311
ER,random_edge,0.05,0.36790618936172076
ER,random_edge,0.05,0.3974407773219703
ER,random_node,0.1,0.43682681996759837
ER,random_node,0.3,0.30983701593907664
ER,snowball,0.5,0.11273994347323603
ER,snowball,0.5,0.11063737303561144
ER,snowball,0.5,0.11384467865272146
ER,random_walk,0.5,0.13403935441488798
ER,preferential_random_walk,0.5,0.11719403840728256
ER,preferential_random_walk,0.5,0.11743578379803403
ER,preferential_random_walk,0.5,0.11634746723438301
ER,preferential_random_walk,0.5,0.11520694048177009
ER,metropolis_hastings_rw,0.5,0.137514873891497
BA,random_edge,0.5,0.021521626370177332
BA,random_edge,0.5,0.020268494383987316
BA,random_edge,0.5,0.017919279313929715
BA,random_edge,0.5,0.01992266649680075
BA,random_edge,0.5,0.022070616498338958
BA,random_edge,0.5,0.02000685638515611
BA,random_edge,0.5,0.020720116874387153
BA,random_edge,0.5,0.019455746885672764
BA,snowball,0.5,0.03320548740262427
BA,snowball,0.5,0.03541424641340374
BA,snowball,0.5,0.030870087042191446
BA,snowball,0.5,0.03556431360089348
BA,snowball,0.5,0.041780812487082764
BA,random_walk,0.5,0.04646998595672793
BA,random_walk,0.5,0.01954944318595259
BA,random_walk,0.5,0.021724636883522785
BA,random_walk,0.5,0.0221909797603974
BA,preferential_random_walk,0.5,0.01676191814531736
BA,preferential_random_walk,0.5,0.01670448680691135
BA,preferential_random_walk,0.5,0.01525796090043109
BA,preferential_random_walk,0.5,0.015272482301567747
BA,preferential_random_walk,0.5,0.01561112376952604
BA,preferential_random_walk,0.5,0.016913282225554955
BA,preferential_random_walk,0.5,0.015623164493625823
BA,preferential_random_walk,0.5,0.013844286274746967
BA,preferential_random_walk,0.5,0.015741445847471416
BA,metropolis_hastings_rw,0.5,0.04054795168493697
BA,metropolis_hastings_rw,0.5,0.03275564907917136
BA,metropolis_hastings_rw,0.5,0.03599910343514121
BA,metropolis_hastings_rw,0.5,0.04237485859662641
BA,metropolis_hastings_rw,0.5,0.041100095705661734
WS,random_edge,0.05,0.570256320678762
WS,random_walk,0.05,0.4934521244521047
WS,random_node,0.1,0.5950680765178911
WS,random_edge,0.1,0.5748545154508329
WS,snowball,0.5,0.14591820087744672
WS,snowball,0.5,0.14857610255549816
WS,snowball,0.5,0.14793416450823485
WS,preferential_random_walk,0.5,0.2121841303800194
WS,preferential_random_walk,0.5,0.21180101288878386
WS,preferential_random_walk,0.5,0.21586821420192814
WS,preferential_random_walk,0.5,0.21140732153960487
WS,metropolis_hastings_rw,0.5,0.19163280026164595
WS,metropolis_hastings_rw,0.5,0.18860289908147945
WS,metropolis_hastings_rw,0.5,0.20202965616450505
WS,metropolis_hastings_rw,0.5,0.1953074507550706
WS,metropolis_hastings_rw,0.5,0.19755417744867754
ER,random_edge,0.05,0.3763921287227516
ER,snowball,0.05,0.356089987703654
ER,snowball,0.1,0.294421569293933
ER,random_edge,0.2,0.32975652867017086
ER,random_node,0.3,0.3072755607140647
ER,random_edge,0.3,0.26184176840763046
ER,random_node,0.5,0.18541664017779955
ER,snowball,0.5,0.10475454701620406
ER,snowball,0.5,0.10416332492100706
ER,snowball,0.5,0.10390630561646948
ER,snowball,0.5,0.1002234521293121
ER,snowball,0.5,0.10429740234257723
ER,snowball,0.5,0.10172536859110025
ER,random_walk,0.5,0.12821551217107954
ER,preferential_random_walk,0.5,0.11758386484699983
ER,preferential_random_walk,0.5,0.11431652802948011
ER,preferential_random_walk,0.5,0.11186546436320687
ER,preferential_random_walk,0.5,0.10079084565023955
ER,preferential_random_walk,0.5,0.11305751269146959
ER,preferential_random_walk,0.5,0.11055783357615738
ER,preferential_random_walk,0.5,0.11130127312564982
BA,random_edge,0.5,0.021751661304604736
BA,random_edge,0.5,0.017794662756487473
BA,random_edge,0.5,0.019534495052484297
BA,random_edge,0.5,0.020977949823945432
BA,random_edge,0.5,0.02023772998309406
BA,random_edge,0.5,0.01661822552208201
BA,snowball,0.5,0.03091692816588192
BA,snowball,0.5,0.03184824989998946
BA,snowball,0.5,0.028619271417243936
BA,snowball,0.5,0.03196596332696353
BA,snowball,0.5,0.03462837824107637
BA,snowball,0.5,0.03364229621817073
BA,random_walk,0.5,0.022814785973902876
BA,random_walk,0.5,0.02229343362212191
BA,random_walk,0.5,0.019431176476412144
BA,random_walk,0.5,0.04537112825043102
BA,random_walk,0.5,0.021778921734989593
BA,random_walk,0.5,0.021531552956154137
BA,preferential_random_walk,0.5,0.014416901188582536
BA,preferential_random_walk,0.5,0.015459031428579467
BA,preferential_random_walk,0.5,0.015332664674359288
BA,preferential_random_walk,0.5,0.01614402331062661
BA,preferential_random_walk,0.5,0.016422451140234315
BA,preferential_random_walk,0.5,0.0137007068681587
BA,preferential_random_walk,0.5,0.014830452624061167
BA,metropolis_hastings_rw,0.5,0.03750435245806525
BA,metropolis_hastings_rw,0.5,0.041282275712819554
BA,metropolis_hastings_rw,0.5,0.040273069068527324
BA,metropolis_hastings_rw,0.5,0.038159245524824775
BA,metropolis_hastings_rw,0.5,0.037934324180075786
BA,metropolis_hastings_rw,0.5,0.036097060216315674
BA,metropolis_hastings_rw,0.5,0.03805958120626122
BA,metropolis_hastings_rw,0.5,0.037825725915467706
WS,snowball,0.05,0.322923701952948
WS,snowball,0.5,0.14880942583316223
WS,snowball,0.5,0.14577655942587725
WS,random_walk,0.5,0.21220168552089394
WS,random_walk,0.5,0.21416303060195196
WS,preferential_random_walk,0.5,0.20780119165457292
