graph_id,model,graph_seed,sampler,sample_frac,rep_seed,degree_JS,clustering_JS,betweenness_JS,re_avg_shortest_path_lcc,re_avg_clustering,re_avg_degree,is_pareto
ER_n1000_s0,ER,0,snowball,0.05,1,0.5290249751337669,0.1033058078252381,0.2059686009866214,0.0347363016055349,8.924654573409448,0.7388207360506529,True
ER_n1000_s0,ER,0,snowball,0.05,8,0.5414495628684978,0.0935707133148516,0.2274722275076818,0.0264261779859236,2.9020864225156977,0.7586070439256035,True
ER_n1000_s0,ER,0,random_node,0.1,3,0.6801983656270276,0.1643490286662583,0.4915498406890587,0.0745544150887464,0.0332668773046693,0.928769291650178,True
ER_n1000_s0,ER,0,random_node,0.1,5,0.6706030887078385,0.0906002004766005,0.4511724326505901,0.0422947749253008,0.6112218711588844,0.8990898298377523,True
ER_n1000_s0,ER,0,snowball,0.5,0,0.1797853626208004,0.0505377184141589,0.088662811979585,0.0831929468304082,0.0330250833112412,0.3747526711515631,True
ER_n1000_s0,ER,0,snowball,0.5,2,0.169667783579206,0.018287315703005,0.1009761673984875,0.0763185614568522,0.3674578983717122,0.3597150771666007,True
ER_n1000_s0,ER,0,snowball,0.5,9,0.1559399035839603,0.0527123674173142,0.0862321291265652,0.0588012427567553,0.0447532747002875,0.3430945785516423,True
ER_n1000_s0,ER,0,random_walk,0.5,2,0.1968643170077685,0.0868226424137578,0.1395788366724543,0.1070406347953624,0.0069337253987766,0.3791056588840523,True
ER_n1000_s0,ER,0,random_walk,0.5,4,0.2025301164794047,0.0657740900819991,0.1347315914043917,0.1148571571571646,0.0206830333143,0.3889988128215275,True
ER_n1000_s0,ER,0,preferential_random_walk,0.5,4,0.1664091789225895,0.0188604821474551,0.1354535195554778,0.0780668314061702,0.4848627009256299,0.3430945785516423,True
ER_n1000_s0,ER,0,preferential_random_walk,0.5,6,0.1523498752353058,0.0571313114116227,0.1312434678308674,0.0688383399622456,0.2981887713473712,0.329639889196676,True
ER_n1000_s0,ER,0,metropolis_hastings_rw,0.5,2,0.1980136759962872,0.0680854929502733,0.1415951598644441,0.107643998115919,0.0111541287416119,0.3779184804115552,True
BA_n1000_s0,BA,0,random_edge,0.5,3,0.1319885651316064,0.0449167866300642,0.029208778151225,0.0018406073074746,0.5643776058013471,0.164221105527638,True
BA_n1000_s0,BA,0,random_edge,0.5,5,0.0672824060333677,0.0503782976057954,0.0276187963806242,0.0098950076036084,0.458794231901977,0.1582663818092457,True
BA_n1000_s0,BA,0,random_edge,0.5,7,0.0686365511551318,0.0382811253476255,0.0333412798671828,0.001381960334785,0.3353668543009045,0.1879396984924622,True
BA_n1000_s0,BA,0,random_edge,0.5,8,0.1133000297931556,0.0374390112812251,0.024334280161789,0.0159682577725394,0.4431914947690011,0.1606030150753768,True
