model,mse_mean,mse_std,mae_mean,mae_std
RandomForest,0.016396538113302994,0.0011273558171874293,0.10498520292017025,0.004439950581079524
GradientBoosting,0.016358998833485423,0.001121938093826709,0.10512546306213384,0.004528248194281124
