model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std
RandomForest,0.6393333333333333,0.05288982258746318,0.282908424486783,0.012664392574069698,0.32970928347015305,0.019601362562751985
GradientBoosting,0.6486666666666666,0.0440504760978181,0.29656015246706957,0.04881066625052131,0.3391525475329823,0.0405201598372033
LogisticRegression,0.6186666666666667,0.06424259576878187,0.23675907520495865,0.02660483151882333,0.2985420895529591,0.034901793138531804
MLP,0.642,0.05183735247011663,0.2953261725844117,0.024794081786480193,0.33753612329699284,0.048338394013021875
