graph_id,model,graph_n,sample_frac,objective,target_sampler,best_error,model_BA,model_ER,model_WS
ER_n5000_s45,ER,4999,0.3,preserve_degree,snowball,0.3227429875422666,0,1,0
ER_n5000_s45,ER,4999,0.5,preserve_degree,snowball,0.16742492853966107,0,1,0
WS_n1000_s0,WS,1000,0.05,preserve_degree,snowball,0.4859967901827402,0,0,1
WS_n1000_s0,WS,1000,0.1,preserve_degree,snowball,0.44459991616459815,0,0,1
WS_n1000_s0,WS,1000,0.2,preserve_degree,snowball,0.39410515586796546,0,0,1
WS_n1000_s0,WS,1000,0.3,preserve_degree,snowball,0.36190049859361223,0,0,1
WS_n1000_s0,WS,1000,0.5,preserve_degree,snowball,0.2701276168286936,0,0,1
WS_n1000_s15,WS,1000,0.05,preserve_degree,snowball,0.49118982975108094,0,0,1
WS_n1000_s15,WS,1000,0.1,preserve_degree,snowball,0.4205918162687473,0,0,1
WS_n1000_s15,WS,1000,0.2,preserve_degree,snowball,0.3745763757139535,0,0,1
WS_n1000_s15,WS,1000,0.3,preserve_degree,snowball,0.3380952558820008,0,0,1
WS_n1000_s15,WS,1000,0.5,preserve_degree,snowball,0.2485552850796129,0,0,1
WS_n1000_s45,WS,1000,0.05,preserve_degree,snowball,0.48954525506665014,0,0,1
WS_n1000_s45,WS,1000,0.1,preserve_degree,snowball,0.41449997757791845,0,0,1
WS_n1000_s45,WS,1000,0.2,preserve_degree,snowball,0.37620465174122625,0,0,1
WS_n1000_s45,WS,1000,0.3,preserve_degree,snowball,0.3438095993361962,0,0,1
WS_n1000_s45,WS,1000,0.5,preserve_degree,snowball,0.25421544301780136,0,0,1
WS_n5000_s0,WS,5000,0.05,preserve_degree,snowball,0.4261977500513149,0,0,1
WS_n5000_s0,WS,5000,0.1,preserve_degree,snowball,0.4203778379702567,0,0,1
WS_n5000_s0,WS,5000,0.2,preserve_degree,snowball,0.38245904469385683,0,0,1
WS_n5000_s0,WS,5000,0.3,preserve_degree,snowball,0.34448199650305883,0,0,1
WS_n5000_s0,WS,5000,0.5,preserve_degree,snowball,0.2506318110992868,0,0,1
WS_n5000_s15,WS,5000,0.05,preserve_degree,snowball,0.4338184463919254,0,0,1
WS_n5000_s15,WS,5000,0.1,preserve_degree,snowball,0.41960982104213473,0,0,1
WS_n5000_s15,WS,5000,0.2,preserve_degree,snowball,0.3832681448237597,0,0,1
WS_n5000_s15,WS,5000,0.3,preserve_degree,snowball,0.34638856561025416,0,0,1
WS_n5000_s15,WS,5000,0.5,preserve_degree,snowball,0.25199699718294777,0,0,1
WS_n5000_s45,WS,5000,0.05,preserve_degree,snowball,0.4131241688120267,0,0,1
WS_n5000_s45,WS,5000,0.1,preserve_degree,snowball,0.4084411231999735,0,0,1
WS_n5000_s45,WS,5000,0.2,preserve_degree,snowball,0.3774244337545848,0,0,1
WS_n5000_s45,WS,5000,0.3,preserve_degree,snowball,0.3435698570111678,0,0,1
WS_n5000_s45,WS,5000,0.5,preserve_degree,snowball,0.24828165590675727,0,0,1
BA_n1000_s0,BA,1000,0.05,preserve_clustering,random_walk,0.18679105616044514,1,0,0
BA_n1000_s0,BA,1000,0.1,preserve_clustering,random_walk,0.1590706846493599,1,0,0
BA_n1000_s0,BA,1000,0.2,preserve_clustering,random_walk,0.104114296448744,1,0,0
BA_n1000_s0,BA,1000,0.3,preserve_clustering,metropolis_hastings_rw,0.07371519606882634,1,0,0
BA_n1000_s0,BA,1000,0.5,preserve_clustering,random_walk,0.03909834395171111,1,0,0
BA_n1000_s15,BA,1000,0.05,preserve_clustering,random_edge,0.19371666735672427,1,0,0
BA_n1000_s15,BA,1000,0.1,preserve_clustering,random_edge,0.13461039398841151,1,0,0
BA_n1000_s15,BA,1000,0.2,preserve_clustering,random_edge,0.08998525253770795,1,0,0
BA_n1000_s15,BA,1000,0.3,preserve_clustering,random_edge,0.06270926786920777,1,0,0
BA_n1000_s15,BA,1000,0.5,preserve_clustering,metropolis_hastings_rw,0.03227552244993952,1,0,0
BA_n1000_s45,BA,1000,0.05,preserve_clustering,random_walk,0.20877738961258077,1,0,0
BA_n1000_s45,BA,1000,0.1,preserve_clustering,random_walk,0.14941264395547024,1,0,0
BA_n1000_s45,BA,1000,0.2,preserve_clustering,random_walk,0.098719828918755,1,0,0
BA_n1000_s45,BA,1000,0.3,preserve_clustering,random_edge,0.06972572169366084,1,0,0
BA_n1000_s45,BA,1000,0.5,preserve_clustering,metropolis_hastings_rw,0.03855270607307185,1,0,0
BA_n5000_s0,BA,5000,0.05,preserve_clustering,random_edge,0.045538981493790556,1,0,0
BA_n5000_s0,BA,5000,0.1,preserve_clustering,random_edge,0.02738987130408881,1,0,0
BA_n5000_s0,BA,5000,0.2,preserve_clustering,random_walk,0.02281429300134904,1,0,0
BA_n5000_s0,BA,5000,0.3,preserve_clustering,random_walk,0.01770484901600232,1,0,0
BA_n5000_s0,BA,5000,0.5,preserve_clustering,random_walk,0.011639074045088519,1,0,0
BA_n5000_s15,BA,5000,0.05,preserve_clustering,random_walk,0.034050450172016314,1,0,0
BA_n5000_s15,BA,5000,0.1,preserve_clustering,random_walk,0.023284191024451412,1,0,0
BA_n5000_s15,BA,5000,0.2,preserve_clustering,random_walk,0.0176264604750525,1,0,0
BA_n5000_s15,BA,5000,0.3,preserve_clustering,random_walk,0.013908660234522302,1,0,0
BA_n5000_s15,BA,5000,0.5,preserve_clustering,metropolis_hastings_rw,0.006594035390216429,1,0,0
BA_n5000_s45,BA,5000,0.05,preserve_clustering,random_edge,0.04107032424534067,1,0,0
BA_n5000_s45,BA,5000,0.1,preserve_clustering,random_walk,0.02926485738199147,1,0,0
BA_n5000_s45,BA,5000,0.2,preserve_clustering,random_walk,0.02074498553582168,1,0,0
BA_n5000_s45,BA,5000,0.3,preserve_clustering,random_walk,0.01721217170137693,1,0,0
BA_n5000_s45,BA,5000,0.5,preserve_clustering,metropolis_hastings_rw,0.01003381460034407,1,0,0
ER_n1000_s0,ER,1000,0.05,preserve_clustering,snowball,0.09206664169231875,0,1,0
ER_n1000_s0,ER,1000,0.1,preserve_clustering,snowball,0.08291644766896868,0,1,0
ER_n1000_s0,ER,1000,0.2,preserve_clustering,snowball,0.06839390543382526,0,1,0
ER_n1000_s0,ER,1000,0.3,preserve_clustering,snowball,0.059843048476347804,0,1,0
ER_n1000_s0,ER,1000,0.5,preserve_clustering,snowball,0.04881338502966191,0,1,0
ER_n1000_s15,ER,1000,0.05,preserve_clustering,snowball,0.10044099427320927,0,1,0
ER_n1000_s15,ER,1000,0.1,preserve_clustering,snowball,0.08718282685644044,0,1,0
ER_n1000_s15,ER,1000,0.2,preserve_clustering,snowball,0.08236389374115166,0,1,0
ER_n1000_s15,ER,1000,0.3,preserve_clustering,snowball,0.06785163839172222,0,1,0
ER_n1000_s15,ER,1000,0.5,preserve_clustering,snowball,0.04239704279660041,0,1,0
ER_n1000_s45,ER,1000,0.05,preserve_clustering,snowball,0.09965181162191213,0,1,0
ER_n1000_s45,ER,1000,0.1,preserve_clustering,snowball,0.07847377838184105,0,1,0
ER_n1000_s45,ER,1000,0.2,preserve_clustering,snowball,0.06611839097489398,0,1,0
ER_n1000_s45,ER,1000,0.3,preserve_clustering,snowball,0.06279903089209356,0,1,0
ER_n1000_s45,ER,1000,0.5,preserve_clustering,snowball,0.04565658243117557,0,1,0
ER_n5000_s0,ER,5000,0.05,preserve_clustering,snowball,0.01943292080177754,0,1,0
ER_n5000_s0,ER,5000,0.1,preserve_clustering,snowball,0.016318806933065692,0,1,0
ER_n5000_s0,ER,5000,0.2,preserve_clustering,snowball,0.01721817339715446,0,1,0
ER_n5000_s0,ER,5000,0.3,preserve_clustering,snowball,0.01491941311965424,0,1,0
ER_n5000_s0,ER,5000,0.5,preserve_clustering,snowball,0.00961631107765577,0,1,0
ER_n5000_s15,ER,5000,0.05,preserve_clustering,snowball,0.01731653519378985,0,1,0
ER_n5000_s15,ER,5000,0.1,preserve_clustering,snowball,0.01529041783682318,0,1,0
